Demolition Man  [SNES]
Demon's Crest   [SNES]
Disney's Mickey To Donald Magical Adventure 3 [SNES]
Donkey Kong Country    [SNES]
Donkey Kong Country 2 - Diddy's Kong Quest    [SNES]
Donkey Kong Country 3 - Dixie Kong's Double Trouble   [SNES]
DoReMi Fantasy: Milon no DokiDoki Daibouken [SNES]
Dragon's Lair   [SNES]
Equinox  [SNES]
Firemen, The  [SNES]
Front Mission - Gun Hazard [SNES]
Ghoul Patrol  [SNES]
Hagane  [SNES]
Indiana Jones' Greatest Adventures   [SNES]
Judge Dredd   [SNES]
King of Dragons, The   [SNES]
Kirby's Dream Land 3  [SNES]
Legend of Zelda, The - A Link to the Past   [SNES]
Lion King, The  [SNES]
Lucky Luke   [SNES]
Magical Quest Starring Mickey Mouse, The   [SNES]
Magical Pop'n  [SNES]
Marko's Magic Football  [SNES]
Maui Mallard in Cold Shadow  [SNES]
Mega Man VII  [SNES]
Mega Man X    [SNES]
Mega Man X 2   [SNES]
Mega Man X 3   [SNES]
Metal Warriors  [SNES]
Mickey Mania   [SNES]
Mutant Chronicles: Doom Troopers [SNES]
Nosferatu  [SNES]
Pagemaster, The  [SNES]
Plok [SNES]
Pocky & Rocky   [SNES]
Popeye - Ijiwaru Majo Sea Hag no Maki  [SNES]
Prehistorik Man   [SNES]
Prince of Persia  [SNES]
Prince of Persia 2 - The Shadow & The Flame  [SNES]
Rockman & Forte [SNES]
Run Saber [SNES]
Shounen Ashibe [SNES]
Sky Blazer   [SNES]
Sunset Riders   [SNES]
Super Adventure Island 2 [SNES]
Super Bomberman  [SNES]
Super Bomberman 2   [SNES]
Super Bomberman 4  [SNES]
Super Bomberman 5 [SNES]
Super Castlevania IV   [SNES]
Super Ghouls 'N Ghosts   [SNES]
Super Mario World   [SNES]
Super Mario World 2 - Yoshi's Island    [SNES]
Super Metroid (JU)  [SNES]
Super Star Wars    [SNES]
Super Turrican  [SNES]
Super Turrican 2   [SNES]
Super Valis IV  [SNES]
Super Widget  [SNES]
Teenage Mutant Ninja Turtles IV - Turtles in Time   [SNES]
Tintin in Tibet   [SNES]
Tiny Toon Adventures - Buster Busts Loose!   [SNES]
Zero the Kamikaze Squirrel   [SNES]
Zombies Ate My Neighbors   [SNES]
