Blue Angel 69	(Commodore64)
Blue Max	(Commodore64)
Blue Max 2001	(Commodore64)
Blue Moon	(Commodore64)
Blue Print	(Commodore64)
Blue Thunder	(Commodore64)
Blueberry	(Commodore64)
Blues Brothers	(Commodore64)
BMX Freestyle	(Commodore64)
BMX Kidz	(Commodore64)
BMX Racers	(Commodore64)
BMX Simulator	(Commodore64)
BMX Simulator 2	(Commodore64)
BMX Stunts	(Commodore64)
BMX Trials	(Commodore64)
Bob Morane: Chevalerie I	(Commodore64)
Bob Morane: Science Fiction	(Commodore64)
Bob Winner	(Commodore64)
Bobby Bearing	(Commodore64)
Bobo	(Commodore64)
Bobs Full House	(Commodore64)
Bobsleigh	(Commodore64)
Bocce	(Commodore64)
Bod Squad	(Commodore64)
Body Slam	(Commodore64)
Bogymen	(Commodore64)
Boing	(Commodore64)
Bojo	(Commodore64)
Bolo	(Commodore64)
Bomb Fusion	(Commodore64)
Bomb Jack	(Commodore64)
Bomb Jack II	(Commodore64)
Bomb Mania	(Commodore64)
Bomb Squad	(Commodore64)
Bomb-Hunt	(Commodore64)
Bombardment	(Commodore64)
Bombel	(Commodore64)
Bomber	(Commodore64)
Bomber	(Commodore64)
Bombi	(Commodore64)
Bombing Run	(Commodore64)
Bombo	(Commodore64)
Bombs Away!	(Commodore64)
Bombuzal	(Commodore64)
Bone Cruncher	(Commodore64)
Bongo	(Commodore64)
Bonka	(Commodore64)
Bonzo	(Commodore64)
Booga-Boo	(Commodore64)
Book of the Dead	(Commodore64)
Boom	(Commodore64)
Boom and Bust	(Commodore64)
Bootleg Bandits	(Commodore64)
Booty	(Commodore64)
Border Zone	(Commodore64)
Bored Of The Rings	(Commodore64)
Borrowed Time	(Commodore64)
Bosconian 87	(Commodore64)
Bot-A-Bout	(Commodore64)
Boulder Dash	(Commodore64)
Boulder Dash Construction Kit	(Commodore64)
Boulder Dash II: Rockford's Revenge	(Commodore64)
Boulder Dash III	(Commodore64)
Bouncer	(Commodore64)
Bounces	(Commodore64)
Bouncing Heads	(Commodore64)
Bouncy	(Commodore64)
Bounder	(Commodore64)
Bounty Bob Strikes Back	(Commodore64)
Bowling	(Commodore64)
Bowling Champ	(Commodore64)
Boxen	(Commodore64)
Boxing Manager	(Commodore64)
Bozo's Night Out	(Commodore64)
Bozuma	(Commodore64)
Brain Spasm	(Commodore64)
Brainstorm	(Commodore64)
Brainwave	(Commodore64)
Brands Delux	(Commodore64)
Brave African Huntress	(Commodore64)
Bravestarr	(Commodore64)
Break Ball	(Commodore64)
Break Dance	(Commodore64)
Break Down	(Commodore64)
Break Fever	(Commodore64)
Break In	(Commodore64)
Break Street	(Commodore64)
Breaker	(Commodore64)
Breakers	(Commodore64)
Breakout 86	(Commodore64)
Breakthru	(Commodore64)
Breakthru in 3D	(Commodore64)
Brian Bloodaxe	(Commodore64)
Brian Clough's Football Fortunes	(Commodore64)
Brian Jack's Superstar Ch.	(Commodore64)
Brick Busters	(Commodore64)
Bride of Frankenstein	(Commodore64)
Brig Battle	(Commodore64)
Brinx Jinx	(Commodore64)
Bristles	(Commodore64)
Brix	(Commodore64)
Broadsides	(Commodore64)
Bronx Medal	(Commodore64)
Bruce Lee	(Commodore64)
Bubble Bobble	(Commodore64)
Bubble Burst	(Commodore64)
Bubble Dizzy	(Commodore64)
Bubble Ghost	(Commodore64)
Bubbler	(Commodore64)
Buck Rogers	(Commodore64)
Buckaroo Banzai	(Commodore64)
Budokan: The Martial Spirit	(Commodore64)
Buffalo Bill's Wild West Show	(Commodore64)
Buffalo Roundup	(Commodore64)
Bug Blast	(Commodore64)
Bug Blitz	(Commodore64)
Buggy Boy	(Commodore64)
Bugsy	(Commodore64)
Builder Ben	(Commodore64)
Bulge	(Commodore64)
Bulldog	(Commodore64)
Bullet	(Commodore64)
Bullseye	(Commodore64)
Bully's Sporting Darts	(Commodore64)
Bump Set Spike! Doubles Volleyball	(Commodore64)
Bump-n-Run	(Commodore64)
Bumping Buggies	(Commodore64)
Bunny Jagd	(Commodore64)
Burger Chase	(Commodore64)
Burger Time '97	(Commodore64)
Burgertime	(Commodore64)
Burnin Rubber	(Commodore64)
Bushido	(Commodore64)
Bushido Warrior	(Commodore64)
Businessman	(Commodore64)
Butterfly	(Commodore64)
Buzzard Ramjets	(Commodore64)
Buzzoff	(Commodore64)
By Fair Means... or Foul!	(Commodore64)
C'est La Vie	(Commodore64)
Cabal	(Commodore64)
CadCam Warrior	(Commodore64)
Caesar The Cat	(Commodore64)
Cage Match	(Commodore64)
California Games	(Commodore64)
California Goldrush	(Commodore64)
Call Me Psycho	(Commodore64)
Calvin	(Commodore64)
Camel Trophy	(Commodore64)
Camelot Warriors	(Commodore64)
Candy Bandit	(Commodore64)
Cannon Craze	(Commodore64)
Canon Rider	(Commodore64)
Captain America in: The Doom Tube of Dr. Megalomann	(Commodore64)
Captain Blood	(Commodore64)
Captain Cactus	(Commodore64)
Captain Dynamo	(Commodore64)
Captain Kidd	(Commodore64)
Captain Starlight	(Commodore64)
Capture	(Commodore64)
Captured	(Commodore64)
Card Land	(Commodore64)
Card Sharks	(Commodore64)
Carnage	(Commodore64)
Carnival Fun	(Commodore64)
Carrier Command	(Commodore64)
Carry on Laughing	(Commodore64)
Cashman	(Commodore64)
Cassette 50	(Commodore64)
Castle	(Commodore64)
Castle Blackstar	(Commodore64)
Castle Master	(Commodore64)
Castle of Jasoom	(Commodore64)
Castle of Kraizar	(Commodore64)
Castle of Terror	(Commodore64)
Castle Wolfenstein	(Commodore64)
Castle-Kingdom	(Commodore64)
Castlevania	(Commodore64)
Cataball	(Commodore64)
Cataclysm	(Commodore64)
Catalypse	(Commodore64)
Catastrophes	(Commodore64)
Catch a Thief	(Commodore64)
Cats 'N' Dogs	(Commodore64)
Cauldron	(Commodore64)
Cauldron II: The Pumpkin Strikes Back	(Commodore64)
Cave Climber	(Commodore64)
Cave Fighter	(Commodore64)
Cave Kooks	(Commodore64)
Cavelon	(Commodore64)
Caveman Ugh-Lympics	(Commodore64)
Cavemania	(Commodore64)
Cavern Run	(Commodore64)
Caverns of Death	(Commodore64)
Caverns of Khafka	(Commodore64)
Caverns Of Sillahc	(Commodore64)
Caves Of Ice	(Commodore64)
Celtix	(Commodore64)
Centauri Alliance	(Commodore64)
Centipede	(Commodore64)
Centipede 2025	(Commodore64)
Centripod	(Commodore64)
Centropods	(Commodore64)
Centurions: Power X Treme	(Commodore64)
Chain Reaction	(Commodore64)
Challenge of the Gobots	(Commodore64)
Challenger	(Commodore64)
Chambers Of Shaolin	(Commodore64)
Chameleon	(Commodore64)
Chamonix Challenge	(Commodore64)
Champ BMX	(Commodore64)
Champions of Krynn	(Commodore64)
Championship 3D Snooker	(Commodore64)
Championship Baseball	(Commodore64)
Championship Jet Ski Simulator	(Commodore64)
Championship Lode Runner	(Commodore64)
Championship Sprint	(Commodore64)
Championship Wrestling	(Commodore64)
Charlie Chaplin	(Commodore64)
Chase H.Q.	(Commodore64)
Chase HQ 2	(Commodore64)
Cheapskate	(Commodore64)
Checkers	(Commodore64)
Cheeky Twins	(Commodore64)
Cheeky Twins 2	(Commodore64)
Chernobyl	(Commodore64)
Chess for Two	(Commodore64)
Chess: The Game Of Kings	(Commodore64)
Chevy Chase	(Commodore64)
Chicago 30's	(Commodore64)
Chicken Chase	(Commodore64)
Chickin Chase	(Commodore64)
Chiller	(Commodore64)
Chilly Willy	(Commodore64)
Chimera	(Commodore64)
China Miner	(Commodore64)
Chinese Juggler	(Commodore64)
Chip	(Commodore64)
Chip War	(Commodore64)
Chipwits	(Commodore64)
Cholo	(Commodore64)
Chomp!	(Commodore64)
Chomper Man	(Commodore64)
Choplifter!	(Commodore64)
Chopper	(Commodore64)
Chopper 1	(Commodore64)
Chopper Hunt	(Commodore64)
Chronic Warrior	(Commodore64)
Chubby Chester	(Commodore64)
Chubby Gristle	(Commodore64)
Chuckie Egg	(Commodore64)
Chuckie Egg 2	(Commodore64)
Chwat	(Commodore64)
Ciphoid 9	(Commodore64)
Circuit	(Commodore64)
Circuits	(Commodore64)
Circus	(Commodore64)
Circus Attractions	(Commodore64)
Circus Charlie	(Commodore64)
Circus Circus	(Commodore64)
Cisco Heat	(Commodore64)
Citadel	(Commodore64)
City Bomber	(Commodore64)
City Fighter	(Commodore64)
Cityattak!	(Commodore64)
CJ in the USA	(Commodore64)
CJ's Elephant Antics	(Commodore64)
Classic Adventure	(Commodore64)
Cleanup Service	(Commodore64)
Cleanup Time	(Commodore64)
Cleo The Dog	(Commodore64)
Clever & Smart	(Commodore64)
Cliff Hanger	(Commodore64)
Cliff the Hanger	(Commodore64)
Clive Barker's Nightbreed: The Action Game	(Commodore64)
Clix Clax	(Commodore64)
Clone	(Commodore64)
Cloud Kingdoms	(Commodore64)
Cloudstrike	(Commodore64)
Clown 64	(Commodore64)
Clowns	(Commodore64)
Club Caribe	(Commodore64)
Club House Sports	(Commodore64)
Clue Master Detective	(Commodore64)
Cluedo	(Commodore64)
Cobra	(Commodore64)
Cobra Force	(Commodore64)
Code Hunter	(Commodore64)
Codename Mat II	(Commodore64)
Cohen's Towers	(Commodore64)
Coinquest	(Commodore64)
Coldiarus	(Commodore64)
Colee	(Commodore64)
Collapse	(Commodore64)
Collins	(Commodore64)
Colonial Conquest	(Commodore64)
Colony	(Commodore64)
Color Buster	(Commodore64)
Colossal Adventure	(Commodore64)
Colossus Bridge	(Commodore64)
Colossus Chess 2.0	(Commodore64)
Colossus Chess 4	(Commodore64)
Colossus Mah Jong	(Commodore64)
Colouration	(Commodore64)
Combat Leader	(Commodore64)
Combat Lynx	(Commodore64)
Combat School	(Commodore64)
Combat Zone	(Commodore64)
Comic Bakery	(Commodore64)
Commando	(Commodore64)
Commando 86	(Commodore64)
Commodore 64 Car Race	(Commodore64)
Computer Quarterback	(Commodore64)
Computer Scrabble	(Commodore64)
Computer Scrabble Deluxe	(Commodore64)
CompuTrainer	(Commodore64)
Computrivia	(Commodore64)
Con-Quest	(Commodore64)
Conan	(Commodore64)
Conan: Hall of Volta	(Commodore64)
Concentration	(Commodore64)
Coney Island	(Commodore64)
Conflict in Vietnam	(Commodore64)
Confuzion	(Commodore64)
Congo Bongo	(Commodore64)
Connect Four	(Commodore64)
Continental Circus	(Commodore64)
Contract Bridge	(Commodore64)
Convoy Raider	(Commodore64)
Cool Croc Twins	(Commodore64)
Cool World	(Commodore64)
Cops And Robbers	(Commodore64)
Corman	(Commodore64)
Corya the Warrior-Sage	(Commodore64)
Cosmic Biznes	(Commodore64)
Cosmic Carnage	(Commodore64)
Cosmic Causeway: Trailblazer II	(Commodore64)
Cosmic Commando	(Commodore64)
Cosmic Convoy	(Commodore64)
Cosmic Hero	(Commodore64)
Cosmic Life	(Commodore64)
Cosmic Pirate	(Commodore64)
Cosmic Split	(Commodore64)
Cosmonut	(Commodore64)
Cosmox	(Commodore64)
Countdown	(Commodore64)
Countdown to Meltdown	(Commodore64)
Coup D'Etat	(Commodore64)
Cover Girl Strip Poker	(Commodore64)
Crackdown	(Commodore64)
Crackers Revenge	(Commodore64)
Crash!	(Commodore64)
Crazy Balloon	(Commodore64)
Crazy Cars	(Commodore64)
Crazy Caveman	(Commodore64)
Crazy Coaster	(Commodore64)
Crazy Comets	(Commodore64)
Crazy Er-Bert	(Commodore64)
Crazy Kong 64	(Commodore64)
Crazy Men	(Commodore64)
Crazy News	(Commodore64)
Crazy Paving	(Commodore64)
Crazy Sprite	(Commodore64)
Creatures	(Commodore64)
Creatures II	(Commodore64)
Cricket	(Commodore64)
Cricket 64	(Commodore64)
Cricket Captain	(Commodore64)
Crime And Punishment	(Commodore64)
Crisis Mountain	(Commodore64)
Critical Mass	(Commodore64)
Croak	(Commodore64)
Croc-A-Bloc Charlie	(Commodore64)
Cross It	(Commodore64)
Cross It II: The Revenge	(Commodore64)
Cross Racer	(Commodore64)
Crossbow	(Commodore64)
Crossfire	(Commodore64)
Crossfire	(Commodore64)
Crossroads	(Commodore64)
Crossroads II:Pandemonium	(Commodore64)
Crucible	(Commodore64)
Crucifixion	(Commodore64)
Cruel Zone	(Commodore64)
Crunch Point	(Commodore64)
Crusade in Europe	(Commodore64)
Crush, Crumble & Chomp	(Commodore64)
Crylon	(Commodore64)
Crystal Castles	(Commodore64)
Crystal Kingdom Dizzy	(Commodore64)
Crystals Of Zong	(Commodore64)
Cubic	(Commodore64)
Cuddly Cuburt	(Commodore64)
Cue Boy	(Commodore64)
Cup Challenge	(Commodore64)
Cupfinal	(Commodore64)
Curse of Babylon	(Commodore64)
Curse of Ra	(Commodore64)
Curse of the Azure Bonds	(Commodore64)
Curse of The Keys	(Commodore64)
Cuthbert in the Jungle	(Commodore64)
Cuthbert In The Tombs	(Commodore64)
Cutthroats	(Commodore64)
Cyber Trap	(Commodore64)
Cyberdyne Warrior	(Commodore64)
Cybermen	(Commodore64)
Cybernoid	(Commodore64)
Cybernoid II: The Revenge	(Commodore64)
Cybertron Mission	(Commodore64)
Cyberwing	(Commodore64)
Cyborg	(Commodore64)
Cyborg	(Commodore64)
Cyborg 2900	(Commodore64)
Cybotron	(Commodore64)
Cycles	(Commodore64)
Cyclone	(Commodore64)
Cyclones	(Commodore64)
Cyclons	(Commodore64)
Cylu	(Commodore64)
Cyrus	(Commodore64)
Cyrus II	(Commodore64)
D.N.A. Warrior	(Commodore64)
Daley Thompson's Decathlon	(Commodore64)
Daley Thompson's Olympic Challenge	(Commodore64)
Daley Thompson's Super-Test	(Commodore64)
Dallax: Sex and crime in Southfork	(Commodore64)
Dalto	(Commodore64)
Damsel in Distress	(Commodore64)
Dan Dare II: Mekon's Revenge	(Commodore64)
Dan Dare III	(Commodore64)
Dan Dare: Pilot of the Future	(Commodore64)
Dance Of The Vampires	(Commodore64)
Dancing Monster	(Commodore64)
Dandy	(Commodore64)
Danger Freak	(Commodore64)
